,listingPrice,make,model,variant,year,transmissionType,bodyType,fuelType,ownership,color,odometer,fitnessAge,360DegreeCamera,AlloyWheels,AppleCarplayAndroidAuto,Bluetooth,CruiseControl,GpsNavigation,InfotainmentSystem,LeatherSeats,ParkingAssist,PushButtonStart,RearAc,SpecialRegNo,Sunroof/Moonroof,TopModel,Tpms,VentilatedSeats,featureCount,avgEmi
67,1446000,Hyundai,Creta,SX (O) AT 1.5 DIESEL,2022,Automatic,SUV,Diesel,,White,55191,14,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14,27523.0
68,363000,Maruti,Alto,LXI OPT CNG,2022,Manual,Hatchback,CNG,,Red,22684,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7097.0
69,543000,Maruti,New Wagon-R,VXI 1.0,2021,Manual,Hatchback,Petrol,,White,47640,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,10616.0
70,1150000,Maruti,XL6,ALPHA PLUS MT,2023,Manual,SUV,Petrol,,Blue,2819,15,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,12,21889.0
71,639000,Maruti,S Cross,ZETA 1.3,2018,Manual,SUV,Diesel,,Silver,260981,14,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,9,14214.0
72,81000,Chevrolet,Spark,LT 1.0,2011,Manual,Hatchback,Petrol,,Blue,81476,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7197.0
73,912000,Mahindra,Thar,LX PETROL HT 4WD AT,2021,Automatic,SUV,Petrol,,Silver,46221,15,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,8,17359.0
74,634000,Hyundai,NEW I20,SPORTZ 1.2 MT,2022,Manual,Hatchback,Petrol,,White,40944,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,6,12395.0
75,855000,KIA,SONET,HTX 1.5,2021,Manual,SUV,Diesel,,Red,30103,10,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,10,16274.0
76,745000,Hyundai,VENUE,S 1.2,2022,Manual,SUV,Petrol,,Red,53615,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14565.0
77,750000,Maruti,Baleno,ZETA 1.2 AGS,2023,Automatic,Hatchback,Petrol,,Silver,7638,15,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,7,14663.0
78,1148000,KIA,SELTOS,HTX IVT 1.5 PETROL,2020,Automatic,SUV,Petrol,,Silver,21057,15,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,12,21851.0
79,384000,Hyundai,GRAND I10 NIOS,ERA 1.2 KAPPA VTVT,2020,Manual,Hatchback,Petrol,,White,57661,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7507.0
80,775000,Skoda,Rapid,STYLE 1.5 TDI AT,2018,Automatic,Sedan,Diesel,,Red,78867,14,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,9,15151.0
81,510000,Mahindra,TUV300,T8,2016,Manual,SUV,Diesel,,Silver,70993,14,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,11345.0
82,567000,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2019,Manual,Hatchback,Petrol,,Silver,19791,15,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,7,11085.0
83,449990,Maruti,Swift Dzire,VDI,2014,Manual,Sedan,Diesel,,White,66297,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14946.0
84,220000,Hyundai,Eon,ERA +,2016,Manual,Hatchback,Petrol,,White,44995,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301.0
85,890000,MG,ASTOR,STYLE 1.5 MT,2023,Manual,SUV,Petrol,,White,3499,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,16940.0
86,438000,Hyundai,Elite i20,ASTA 1.4 CRDI,2017,Manual,Hatchback,Diesel,,White,82270,10,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,7,20618.0
87,590000,Tata,Tiago,XM CNG,2023,Manual,Hatchback,CNG,,Blue,33299,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,11535.0
88,220000,Honda,Amaze,1.5L I-DTEC S,2015,Manual,Sedan,Diesel,,White,162623,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5793.0
89,425000,Maruti,Baleno,DELTA PETROL 1.2,2016,Manual,Hatchback,Petrol,,Blue,20530,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,8309.0
90,501000,Tata,Tiago,XE CNG,2022,Manual,Hatchback,CNG,,Red,13823,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9795.0
91,800000,Maruti,Ertiga,ZXI+ SHVS,2019,Manual,SUV,Petrol,,Red,48775,15,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,9,15227.0
92,816000,Hyundai,Creta,SX PLUS AT 1.6 PETROL,2017,Automatic,SUV,Petrol,,Red,78167,15,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,8,15532.0
93,534000,Hyundai,NEW SANTRO,MAGNA AMT,2021,Automatic,Hatchback,Petrol,,Red,15251,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,10440.0
94,750000,Mahindra,XUV300,W8 (O) 1.2 PETROL AMT,2021,Automatic,SUV,Petrol,,Red,26825,15,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,12,14663.0
95,522000,Maruti,S PRESSO,VXI PLUS (O) AMT,2023,Automatic,Hatchback,Petrol,,Silver,1261,15,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4,10205.0
96,511000,Tata,Tiago,XZA PLUS PETROL,2020,Automatic,Hatchback,Petrol,,Silver,14236,15,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5,9990.0
97,370000,Mahindra,KUV 100 NXT,K4+ D 6 STR,2017,Manual,SUV,Diesel,,Silver,75752,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7234.0
98,1147000,KIA,SELTOS,GTX AT 1.4 PETROL,2020,Automatic,SUV,Petrol,,Silver,28599,15,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,11,21832.0
99,537600,Maruti,Baleno,DELTA PETROL 1.2,2021,Manual,Hatchback,Petrol,,Silver,56680,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,10510.0
100,525000,Maruti,Vitara Brezza,LDI (O),2017,Manual,SUV,Diesel,,Silver,87276,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10264.0
101,250000,Maruti,Alto 800,LXI O,2015,Manual,Hatchback,Petrol,,Silver,60640,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5561.0
102,472000,Renault,Kwid,CLIMBER MT 1.0,2022,Manual,Hatchback,Petrol,,Orange,32711,15,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5,9228.0
103,340000,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2014,Manual,Hatchback,Petrol,,Orange,82502,15,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,8954.0
104,343380,Maruti,Celerio,ZXI AMT (O),2018,Automatic,Hatchback,Petrol,,Silver,65879,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,6713.0
105,552000,Hyundai,AURA,S 1.2 CNG,2020,Manual,Sedan,CNG,,Brown,72642,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,10792.0
106,999000,KIA,SELTOS,HTE 1.5 PETROL,2022,Manual,SUV,Petrol,,White,27959,15,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,4,19015.0
107,154000,Volkswagen,Polo,HIGHLINE1.5L,2014,Manual,Hatchback,Diesel,,Red,142262,14,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,5115.0
108,528691,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2020,Manual,Hatchback,Petrol,,White,49442,15,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,6,10336.0
109,640000,Hyundai,Creta,SX PLUS  ANNIVERSARY EDITION 1.6 DIESEL,2016,Manual,SUV,Diesel,,White,75276,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14236.0
110,650000,Renault,Duster,RXS PETROL,2018,Manual,SUV,Petrol,,Brown,51379,15,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,5,12708.0
111,473000,Hyundai,NEW SANTRO,SPORTZ AMT,2020,Automatic,Hatchback,Petrol,,Silver,24647,15,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,9247.0
112,335000,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2015,Manual,Hatchback,CNG,,Blue,52804,13,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,11127.0
113,337000,Maruti,Baleno,ZETA PETROL 1.2,2016,Manual,Hatchback,Petrol,,Red,60922,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6588.0
114,600000,Hyundai,Creta,E PLUS 1.6 PETROL,2018,Manual,SUV,Petrol,,Silver,181754,15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,13347.0
115,390000,Renault,Kwid,CLIMBER AMT 1.0,2022,Automatic,Hatchback,Petrol,,Silver,34472,15,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,5,7625.0
116,800000,Mahindra,XUV300,W8 1.5 DIESEL,2019,Manual,SUV,Diesel,,Red,28430,14,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,9,15227.0
117,370000,Maruti,S PRESSO,VXI AMT,2021,Automatic,Hatchback,Petrol,,Silver,32017,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,7234.0
118,2265000,Mahindra,XUV700,AX 7 LUXURY D MT 7 STR,2024,Manual,SUV,Diesel,,White,24421,14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,13,43112.0
119,735000,Ford,Ecosport,TITANIUM + SE 1.5L DIESEL,2021,Manual,SUV,Diesel,,White,39839,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14369.0
