appointmentId,maskedRegNum,cityId,listingPrice,carName,make,model,variant,year,transmissionType,bodyType,fuelType,ownership,registrationDate,cityRto,color,odometer,emiDetails,modelGroup,oemServiceHistoryAvailable,fitnessAge,features
10050941797,DL7C*1082,132,765380,Hyundai VENUE,Hyundai,VENUE,S 1.2,2023,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1677628800000,DL7C,Silver,"{'value': 27898, 'display': '27.90k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14963, 'emiEndingValue': 14963, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14963, 'emiOriginalEndingValue': 14963, 'tenure': 72, 'displayText': 'EMI ₹14,963/m', 'notAvailableText': 'Not available on EMI'}",VENUE,False,15,"['InfotainmentSystem', 'RearAc', 'Bluetooth', 'ParkingAssist', 'Tpms']"
10311148713,MH01**2317,2378,570000,Hyundai i20 Active,Hyundai,i20 Active,1.2 S,2019,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1567296000000,MH01,White,"{'value': 12198, 'display': '12.20k km'}","{'cashDownPayment': 0, 'emiStartingValue': 11144, 'emiEndingValue': 11144, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 11144, 'emiOriginalEndingValue': 11144, 'tenure': 72, 'displayText': 'EMI ₹11,144/m', 'notAvailableText': 'Not available on EMI'}",i20,False,15,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist']"
DLR1001369,CG04**8273,3460,528691,Hyundai GRAND I10 NIOS,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2020,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1601510400000,CG04,White,"{'value': 49442, 'display': '49.44k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10336, 'emiEndingValue': 10336, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10336, 'emiOriginalEndingValue': 10336, 'tenure': 72, 'displayText': 'EMI ₹10,336/m', 'notAvailableText': 'Not available on EMI'}",i10,False,15,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist']"
10003429707,DL7C*0405,2,750000,Maruti Baleno,Maruti,Baleno,ZETA 1.2 AGS,2023,"{'value': 'Automatic', 'display': 'Auto'}",Hatchback,Petrol,1,1675209600000,DL7C,Silver,"{'value': 7638, 'display': '7.64k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14663, 'emiEndingValue': 14663, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14663, 'emiOriginalEndingValue': 14663, 'tenure': 72, 'displayText': 'EMI ₹14,663/m', 'notAvailableText': 'Not available on EMI'}",Baleno,False,15,"['InfotainmentSystem', 'RearAc', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'PushButtonStart']"
13905140795,******XXXX,173,107000,Volkswagen Polo,Volkswagen,Polo,COMFORTLINE 1.2L,2011,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Diesel,3,1314835200000,UP14,Silver,"{'value': 72784, 'display': '72.78k km'}","{'cashDownPayment': 0, 'emiStartingValue': 2092, 'emiEndingValue': 2092, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 2092, 'emiOriginalEndingValue': 2092, 'tenure': 0, 'displayText': 'EMI ₹2,092/m', 'notAvailableText': 'Not available on EMI'}",Polo,False,14,[]
10165724742,UP16**4293,132,735000,Ford Ecosport,Ford,Ecosport,TITANIUM + SE 1.5L DIESEL,2021,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,1,1617235200000,UP16,White,"{'value': 39839, 'display': '39.84k km'}","{'cashDownPayment': 0, 'emiStartingValue': 14369, 'emiEndingValue': 14369, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 14369, 'emiOriginalEndingValue': 14369, 'tenure': 72, 'displayText': 'EMI ₹14,369/m', 'notAvailableText': 'Not available on EMI'}",Ecosport,False,10,['TopModel']
13922223703,******XXXX,173,154000,Volkswagen Polo,Volkswagen,Polo,HIGHLINE1.5L,2014,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Diesel,3,1427846400000,DL3C,Red,"{'value': 142262, 'display': '1.4L km'}","{'cashDownPayment': 0, 'emiStartingValue': 5115, 'emiEndingValue': 5115, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 5115, 'emiOriginalEndingValue': 5115, 'tenure': 36, 'displayText': 'EMI ₹5,115/m', 'notAvailableText': 'Not available on EMI'}",Polo,False,14,"['AlloyWheels', 'Bluetooth', 'ParkingAssist', 'TopModel']"
15344540716,******XXXX,2948,320000,Mahindra Kuv100,Mahindra,Kuv100,K8 D 6 STR,2016,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,1,1456790400000,MP07,Silver,"{'value': 120349, 'display': '1.2L km'}","{'cashDownPayment': 0, 'emiStartingValue': 7118, 'emiEndingValue': 7118, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 7118, 'emiOriginalEndingValue': 7118, 'tenure': 60, 'displayText': 'EMI ₹7,118/m', 'notAvailableText': 'Not available on EMI'}",Kuv100,False,14,"['AlloyWheels', 'Bluetooth', 'TopModel']"
10214322762,KA04**3675,4709,521000,Ford FREESTYLE,Ford,FREESTYLE,TITANIUM PLUS 1.2 PETROL,2019,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,2,1556668800000,KA04,White,"{'value': 31701, 'display': '31.70k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10186, 'emiEndingValue': 10186, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10186, 'emiOriginalEndingValue': 10186, 'tenure': 72, 'displayText': 'EMI ₹10,186/m', 'notAvailableText': 'Not available on EMI'}",FREESTYLE,False,15,"['LeatherSeats', 'AlloyWheels', 'Bluetooth', 'ParkingAssist', 'PushButtonStart', 'GpsNavigation']"
16288124762,******XXXX,8518,800000,Mahindra XUV300,Mahindra,XUV300,W8 1.5 DIESEL,2019,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,2,1569888000000,OD05,Red,"{'value': 28430, 'display': '28.43k km'}","{'cashDownPayment': 0, 'emiStartingValue': 15227, 'emiEndingValue': 15227, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 15640, 'emiOriginalEndingValue': 15640, 'tenure': 72, 'displayText': 'EMI ₹15,227/m', 'notAvailableText': 'Not available on EMI'}",XUV300,False,14,"['InfotainmentSystem', 'AlloyWheels', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'CruiseControl', 'PushButtonStart', 'TopModel', 'GpsNavigation']"
